AccountID,CustomerID,AccountType,Balance,OpenDate,BranchID
1,82,Savings,18112,2023-04-01,2
2,18,Savings,359785,2025-02-01,5
3,55,Savings,20622,2021-04-01,2
4,65,Savings,299254,2022-12-01,5
5,54,Savings,240514,2025-05-01,1
6,98,Savings,371026,2024-06-01,3
7,20,Savings,405290,2023-02-01,1
8,49,Savings,193208,2023-10-01,3
9,6,Current,286137,2021-07-01,1
10,71,Current,439846,2025-06-01,5
11,25,Savings,29025,2022-05-01,1
12,30,Savings,204295,2023-08-01,3
13,21,Current,191264,2022-11-01,3
14,90,Savings,324360,2022-09-01,2
15,21,Current,203943,2023-11-01,5
16,29,Current,446897,2021-04-01,1
17,41,Current,145373,2021-04-01,5
18,92,Current,116477,2024-07-01,4
19,19,Current,78206,2022-12-01,5
20,69,Current,396650,2025-07-01,5
21,52,Current,119987,2022-09-01,4
22,12,Savings,456465,2021-03-01,2
23,88,Current,317690,2021-07-01,4
24,77,Current,282408,2023-09-01,1
25,88,Savings,362412,2025-05-01,3
26,15,Current,232942,2022-08-01,1
27,93,Current,267451,2022-09-01,1
28,81,Current,446277,2025-10-01,2
29,20,Current,404775,2022-09-01,5
30,1,Current,261170,2021-02-01,3
31,40,Savings,35369,2022-10-01,1
32,11,Current,432831,2021-09-01,2
33,17,Current,293255,2022-05-01,5
34,78,Current,116043,2025-12-01,2
35,92,Current,214186,2023-08-01,5
36,58,Savings,134973,2022-02-01,3
37,3,Savings,313512,2022-01-01,1
38,91,Savings,125031,2021-01-01,3
39,10,Savings,151002,2024-04-01,5
40,17,Current,132400,2024-07-01,2
41,13,Savings,350496,2024-06-01,4
42,53,Current,457899,2021-11-01,1
43,8,Current,386793,2023-02-01,2
44,25,Savings,286168,2024-03-01,4
45,24,Current,247550,2022-02-01,4
46,71,Savings,31522,2025-01-01,1
47,97,Savings,92194,2024-08-01,4
48,28,Current,478139,2021-03-01,4
49,1,Current,144042,2024-05-01,4
50,90,Current,86158,2022-05-01,2
51,8,Savings,397154,2023-01-01,1
52,75,Current,268638,2025-03-01,1
53,66,Savings,451348,2022-02-01,5
54,9,Savings,216694,2021-10-01,2
55,75,Savings,329734,2021-07-01,5
56,73,Current,495055,2023-04-01,3
57,31,Current,212505,2022-11-01,3
58,59,Current,492073,2021-01-01,4
59,80,Savings,43409,2025-04-01,5
60,34,Savings,494296,2023-02-01,2
61,48,Current,87704,2024-09-01,3
62,79,Savings,355152,2025-05-01,1
63,18,Current,65517,2021-12-01,5
64,20,Current,152721,2025-04-01,3
65,27,Current,269979,2024-05-01,1
66,12,Current,439817,2023-01-01,1
67,43,Savings,339030,2023-03-01,4
68,71,Current,299076,2021-02-01,1
69,89,Savings,291046,2021-06-01,5
70,71,Savings,230332,2022-01-01,3
71,47,Savings,476295,2023-04-01,2
72,86,Savings,190429,2025-07-01,5
73,96,Savings,490366,2022-03-01,2
74,53,Savings,99036,2023-07-01,2
75,35,Savings,417811,2021-07-01,1
76,61,Savings,109633,2024-06-01,3
77,30,Savings,17406,2022-07-01,3
78,36,Savings,410445,2023-06-01,5
79,52,Current,497430,2021-02-01,3
80,23,Current,25057,2021-10-01,4
81,45,Current,233796,2025-09-01,1
82,50,Savings,138547,2021-12-01,4
83,1,Savings,195956,2024-02-01,3
84,80,Current,352806,2021-12-01,3
85,65,Current,354643,2024-06-01,4
86,90,Current,295671,2022-04-01,4
87,86,Current,360109,2022-10-01,5
88,39,Current,292276,2021-05-01,3
89,27,Current,416963,2025-10-01,3
90,60,Current,236819,2022-09-01,4
91,95,Savings,350427,2021-05-01,5
92,85,Current,53961,2022-11-01,3
93,29,Savings,82255,2021-01-01,2
94,61,Savings,243769,2024-11-01,5
95,25,Current,264196,2024-04-01,2
96,84,Savings,473010,2021-07-01,2
