CardID,CustomerID,CardType,IssueDate,ExpiryDate
1,7,Credit,2025-11-01,2030-05-01
2,93,Debit,2025-07-01,2030-11-01
3,12,Debit,2025-01-01,2030-04-01
4,62,Debit,2025-03-01,2030-10-01
5,29,Credit,2025-01-01,2030-01-01
6,90,Credit,2025-02-01,2030-07-01
7,89,Debit,2025-08-01,2030-02-01
8,30,Credit,2025-02-01,2030-12-01
9,14,Debit,2025-06-01,2030-06-01
10,39,Debit,2025-07-01,2030-03-01
11,83,Debit,2025-02-01,2030-09-01
12,73,Debit,2025-10-01,2030-11-01
13,22,Credit,2025-06-01,2030-12-01
14,28,Debit,2025-07-01,2030-10-01
15,88,Credit,2025-04-01,2030-02-01
16,13,Debit,2025-02-01,2030-10-01
17,94,Credit,2025-06-01,2030-07-01
18,41,Debit,2025-04-01,2030-05-01
19,83,Debit,2025-04-01,2030-09-01
20,77,Credit,2025-12-01,2030-01-01
21,85,Credit,2025-04-01,2030-09-01
22,78,Debit,2025-12-01,2030-07-01
23,38,Debit,2025-04-01,2030-08-01
24,50,Debit,2025-04-01,2030-08-01
25,82,Debit,2025-09-01,2030-01-01
26,47,Credit,2025-03-01,2030-07-01
27,73,Credit,2025-06-01,2030-09-01
28,88,Debit,2025-08-01,2030-02-01
29,3,Debit,2025-01-01,2030-05-01
30,28,Debit,2025-01-01,2030-07-01
31,65,Credit,2025-11-01,2030-12-01
32,65,Credit,2025-07-01,2030-12-01
33,52,Debit,2025-11-01,2030-09-01
34,69,Debit,2025-05-01,2030-02-01
35,40,Debit,2025-09-01,2030-04-01
36,20,Credit,2025-07-01,2030-10-01
37,82,Debit,2025-05-01,2030-12-01
38,56,Debit,2025-01-01,2030-04-01
39,12,Credit,2025-02-01,2030-08-01
40,79,Debit,2025-05-01,2030-11-01
41,95,Debit,2025-02-01,2030-01-01
42,91,Debit,2025-12-01,2030-01-01
43,21,Credit,2025-06-01,2030-09-01
44,67,Credit,2025-03-01,2030-06-01
45,17,Credit,2025-12-01,2030-02-01
46,99,Debit,2025-06-01,2030-07-01
47,35,Debit,2025-05-01,2030-12-01
48,74,Debit,2025-08-01,2030-08-01
49,66,Credit,2025-01-01,2030-08-01
50,73,Debit,2025-06-01,2030-03-01
51,33,Debit,2025-10-01,2030-11-01
52,93,Debit,2025-04-01,2030-12-01
53,66,Debit,2025-01-01,2030-01-01
54,32,Debit,2025-08-01,2030-06-01
55,50,Debit,2025-03-01,2030-01-01
56,71,Credit,2025-04-01,2030-06-01
57,32,Credit,2025-12-01,2030-06-01
58,35,Debit,2025-10-01,2030-06-01
59,16,Debit,2025-03-01,2030-04-01
60,67,Debit,2025-07-01,2030-02-01
61,60,Credit,2025-05-01,2030-06-01
62,12,Credit,2025-01-01,2030-06-01
63,26,Credit,2025-10-01,2030-05-01
64,95,Debit,2025-08-01,2030-06-01
65,76,Credit,2025-04-01,2030-12-01
66,70,Debit,2025-03-01,2030-01-01
67,53,Debit,2025-04-01,2030-09-01
68,45,Debit,2025-06-01,2030-01-01
69,98,Credit,2025-12-01,2030-12-01
70,40,Debit,2025-04-01,2030-09-01
71,31,Credit,2025-08-01,2030-01-01
72,19,Credit,2025-02-01,2030-01-01
73,30,Credit,2025-12-01,2030-06-01
74,59,Debit,2025-10-01,2030-02-01
75,65,Debit,2025-11-01,2030-07-01
76,10,Debit,2025-07-01,2030-11-01
77,17,Debit,2025-05-01,2030-05-01
78,41,Credit,2025-12-01,2030-12-01
79,42,Credit,2025-08-01,2030-05-01
80,30,Debit,2025-04-01,2030-03-01
81,100,Debit,2025-03-01,2030-02-01
82,22,Credit,2025-08-01,2030-06-01
83,53,Debit,2025-09-01,2030-06-01
84,99,Debit,2025-08-01,2030-05-01
85,60,Credit,2025-02-01,2030-02-01
86,21,Credit,2025-12-01,2030-12-01
87,78,Debit,2025-04-01,2030-06-01
88,19,Debit,2025-12-01,2030-04-01
89,46,Credit,2025-09-01,2030-01-01
90,87,Credit,2025-05-01,2030-03-01
91,4,Credit,2025-08-01,2030-09-01
92,96,Debit,2025-02-01,2030-08-01
93,14,Debit,2025-02-01,2030-01-01
94,8,Debit,2025-03-01,2030-04-01
95,52,Credit,2025-11-01,2030-11-01
96,83,Debit,2025-10-01,2030-10-01
97,34,Debit,2025-01-01,2030-02-01
98,26,Credit,2025-03-01,2030-02-01
99,43,Debit,2025-01-01,2030-08-01
100,7,Debit,2025-10-01,2030-07-01
101,93,Credit,2025-08-01,2030-01-01
102,49,Credit,2025-03-01,2030-06-01
103,28,Debit,2025-05-01,2030-05-01
104,58,Debit,2025-01-01,2030-10-01
105,80,Debit,2025-11-01,2030-05-01
106,64,Credit,2025-09-01,2030-08-01
107,8,Debit,2025-05-01,2030-07-01
108,18,Credit,2025-04-01,2030-11-01
109,68,Debit,2025-11-01,2030-09-01
110,3,Credit,2025-12-01,2030-06-01
111,62,Credit,2025-06-01,2030-10-01
112,65,Credit,2025-07-01,2030-05-01
113,24,Debit,2025-06-01,2030-10-01
114,29,Debit,2025-05-01,2030-01-01
115,61,Credit,2025-10-01,2030-04-01
116,21,Debit,2025-04-01,2030-11-01
117,31,Credit,2025-09-01,2030-12-01
118,8,Debit,2025-10-01,2030-07-01
119,46,Debit,2025-03-01,2030-04-01
120,76,Credit,2025-12-01,2030-12-01
