LoanID,CustomerID,LoanType,LoanAmount,InterestRate,LoanStatus
1,43,Vehicle,944161,13.71,Active
2,52,Vehicle,436823,8.3,Closed
3,51,Home,1596415,11.3,Active
4,58,Vehicle,950837,9.72,Active
5,27,Personal,1627740,11.93,Active
6,74,Home,1726677,13.1,Active
7,47,Personal,463294,10.2,Closed
8,86,Personal,1156698,13.76,Closed
9,77,Personal,1332006,9.75,Active
10,45,Personal,1823179,10.21,Active
11,87,Vehicle,1729007,9.08,Active
12,87,Home,706798,7.83,Closed
13,15,Home,832879,11.85,Closed
14,54,Vehicle,339128,11.02,Closed
15,24,Personal,1382743,10.76,Active
16,72,Home,1076853,9.02,Active
17,41,Personal,1348996,7.38,Closed
18,2,Personal,336334,8.37,Closed
19,72,Vehicle,1419586,10.46,Closed
20,54,Vehicle,1811380,10.11,Active
21,11,Vehicle,114719,12.57,Active
22,38,Home,626408,8.57,Closed
23,22,Personal,1236254,12.2,Closed
24,71,Vehicle,287420,11.01,Closed
25,100,Vehicle,1776549,13.94,Active
26,98,Vehicle,975612,10.82,Closed
27,14,Vehicle,1790784,11.58,Active
28,39,Home,993157,8.84,Active
29,57,Home,1676617,12.68,Active
30,95,Vehicle,1495217,9.45,Closed
31,22,Vehicle,341996,12.49,Active
32,8,Vehicle,785713,10.73,Active
33,42,Vehicle,663699,9.03,Closed
34,66,Vehicle,1759558,7.67,Closed
35,8,Personal,1868330,11.59,Active
36,32,Home,1541903,9.25,Active
37,98,Vehicle,873553,10.43,Closed
38,81,Personal,836793,10.16,Active
39,52,Vehicle,1622449,8.95,Closed
40,59,Personal,736375,11.07,Active
41,94,Personal,1381357,11.65,Closed
42,9,Vehicle,884070,8.52,Closed
43,28,Personal,613162,9.26,Closed
44,44,Vehicle,1262014,7.91,Closed
45,44,Vehicle,1648562,7.34,Active
46,81,Personal,84144,7.87,Active
47,57,Personal,51417,13.94,Closed
48,26,Vehicle,1957165,7.92,Closed
49,21,Personal,245748,11.58,Closed
50,11,Personal,1443575,13.33,Active
