TransactionID,AccountID,TransactionDate,TransactionType,Amount
1,39,2026-03-26,Transfer,20012
2,22,2026-04-04,Transfer,27374
3,58,2026-09-13,Withdrawal,29114
4,77,2026-10-14,Withdrawal,37365
5,16,2026-10-24,Deposit,13717
6,55,2026-05-22,Deposit,10392
7,62,2026-03-18,Deposit,10358
8,1,2026-07-15,Transfer,39016
9,121,2026-05-02,Deposit,18981
10,73,2026-12-28,Withdrawal,4764
11,60,2026-05-26,Transfer,38752
12,51,2026-07-04,Transfer,14833
13,39,2026-05-27,Deposit,4779
14,16,2026-03-26,Withdrawal,39096
15,146,2026-05-15,Deposit,30816
16,78,2026-12-13,Withdrawal,32898
17,139,2026-08-15,Deposit,39292
18,11,2026-07-24,Withdrawal,39664
19,65,2026-01-03,Deposit,44290
20,148,2026-10-01,Transfer,17762
21,148,2026-01-25,Deposit,30934
22,133,2026-11-15,Withdrawal,11994
23,150,2026-07-21,Withdrawal,6079
24,121,2026-06-14,Withdrawal,21140
25,27,2026-03-11,Withdrawal,45560
26,127,2026-05-22,Withdrawal,49940
27,141,2026-01-15,Deposit,20712
28,65,2026-06-04,Withdrawal,33824
29,1,2026-11-28,Transfer,30376
30,106,2026-01-07,Transfer,23809
31,128,2026-11-15,Deposit,13440
32,69,2026-09-05,Withdrawal,28812
33,125,2026-02-01,Transfer,40003
34,62,2026-12-06,Withdrawal,36199
35,4,2026-09-14,Deposit,14825
36,30,2026-08-04,Transfer,10190
37,128,2026-12-10,Transfer,46329
38,70,2026-07-27,Withdrawal,31047
39,63,2026-08-18,Deposit,25238
40,49,2026-10-17,Transfer,9046
41,18,2026-05-25,Withdrawal,22374
42,130,2026-05-27,Deposit,18636
43,77,2026-10-19,Transfer,32189
44,39,2026-08-18,Withdrawal,22718
45,86,2026-09-25,Transfer,24820
46,117,2026-06-28,Deposit,45811
47,62,2026-10-13,Deposit,27020
48,12,2026-06-24,Withdrawal,46317
49,98,2026-07-22,Transfer,10068
50,127,2026-01-05,Transfer,38778
51,85,2026-02-28,Withdrawal,6634
52,135,2026-08-01,Transfer,9547
53,105,2026-11-05,Deposit,30868
54,68,2026-06-20,Transfer,26149
55,21,2026-06-28,Transfer,35071
56,98,2026-06-21,Transfer,49868
57,125,2026-09-02,Transfer,4584
58,61,2026-11-22,Withdrawal,15008
59,24,2026-07-04,Transfer,46230
60,26,2026-08-06,Transfer,19725
61,8,2026-01-11,Deposit,19326
62,92,2026-06-14,Deposit,16103
63,136,2026-07-19,Transfer,11900
64,44,2026-03-03,Transfer,25170
65,62,2026-08-19,Deposit,15316
66,119,2026-11-09,Withdrawal,16833
67,3,2026-08-10,Transfer,35921
68,41,2026-02-15,Withdrawal,38607
69,77,2026-11-14,Transfer,16490
70,117,2026-05-07,Withdrawal,31767
71,28,2026-04-13,Transfer,23624
72,148,2026-05-23,Withdrawal,1537
73,102,2026-05-01,Transfer,45044
